submission_id,adj,age,applicability,attentionCheck,comments,context,education,experiment_duration,experiment_end_time,experiment_start_time,gender,isPassedAttention,languages,prolific_pid,prolific_session_id,prolific_study_id,responseTime,state,trialType
3224,okay,34,5,,,movie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,15187,4,trial
3224,good,34,5,,,pizza,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,4765,4,trial
3224,amazing,34,1,,,restaurant meal,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,4778,1,trial
3224,okay,34,9,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3959,3,trial
3224,good,34,3,,,cookie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3800,2,trial
3224,okay,34,2,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3646,1,trial
3224,terrible,34,9,,,cookie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3063,1,trial
3224,good,34,9,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,5700,3,trial
3224,okay,34,2,2,,movie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,4370,4,attention
3224,amazing,34,9,,,movie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3100,5,trial
3224,good,34,5,,,restaurant meal,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3453,5,trial
3224,amazing,34,1,,,movie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3604,2,trial
3224,terrible,34,1,,,party,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,5442,5,trial
3224,okay,34,4,,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3687,2,trial
3224,bad,34,1,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3023,4,trial
3224,bad,34,7,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3486,2,trial
3224,bad,34,1,,,cookie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,7033,3,trial
3224,amazing,34,4,4,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,3058,1,attention
3224,amazing,34,3,,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2973,3,trial
3224,okay,34,1,,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,4171,5,trial
3224,bad,34,9,,,pizza,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2226,1,trial
3224,terrible,34,1,,,movie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2954,3,trial
3224,bad,34,1,,,pizza,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2450,5,trial
3224,terrible,34,1,,,coffee,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2544,4,trial
3224,amazing,34,8,,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2114,4,trial
3224,terrible,34,6,,,cookie,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2731,2,trial
3224,good,34,1,,,concert,Graduated College,130004,1772205224755,1772205094751,female,true,English,5ea9501501562703c7ef80b4,69a1b422fd2087db49a1ee57,69a18850c4d395e0a69fcdc7,2953,1,trial
3225,good,57,1,,,movie,Graduated High-school,170452,1772205245429,1772205074977,male,true,English,651ac88823e71c05dbc1ff63,69a1b40f29c6f4d94d664388,69a18850c4d395e0a69fcdc7,14640,2,trial
3225,terrible,57,1,,,pizza,Graduated High-school,170452,1772205245429,1772205074977,male,true,English,651ac88823e71c05dbc1ff63,69a1b40f29c6f4d94d664388,69a18850c4d395e0a69fcdc7,3980,4,trial
3225,terrible,57,1,,,cookie,Graduated High-school,170452,1772205245429,1772205074977,male,true,English,651ac88823e71c05dbc1ff63,69a1b40f29c6f4d94d664388,69a18850c4d395e0a69fcdc7,4004,3,trial
3225,good,57,1,,,coffee,Graduated High-school,170452,1772205245429,1772205074977,male,true,English,651ac88823e71c05dbc1ff63,69a1b40f29c6f4d94d664388,69a18850c4d395e0a69fcdc7,3838,1,trial
3225,okay,57,1,,,pizza,Graduated High-school,170452,1772205245429,1772205074977,male,true,English,651ac88823e71c05dbc1ff63,69a1b40f29c6f4d94d664388,69a18850c4d395e0a69fcdc7,3188,1,trial
