submission_id,adj,age,attentionCheckV,comments,context,education,emoji,experiment_duration,experiment_end_time,experiment_start_time,gender,inferredArousal,inferredValence,isPassedAttention,languages,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialType
3693,terrible,45,,,restaurant meal,Graduated College,null,127149,1774531893060,1774531765911,female,7,1,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,14140,trial
3693,amazing,45,,,restaurant meal,Graduated College,null,127149,1774531893060,1774531765911,female,9,9,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,7169,trial
3693,bad,45,,,pizza,Graduated College,null,127149,1774531893060,1774531765911,female,5,3,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,6788,trial
3693,terrible,45,3,,pizza,Graduated College,😔,127149,1774531893060,1774531765911,female,0,3,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,6652,attention
3693,good,45,,,restaurant meal,Graduated College,null,127149,1774531893060,1774531765911,female,3,7,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,11214,trial
3693,okay,45,,,party,Graduated College,null,127149,1774531893060,1774531765911,female,3,6,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,10836,trial
3693,good,45,,,coffee,Graduated College,☺️,127149,1774531893060,1774531765911,female,5,7,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,14819,trial
3693,good,45,1,,cookie,Graduated College,☺️,127149,1774531893060,1774531765911,female,0,1,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,3705,attention
3693,terrible,45,,,cookie,Graduated College,😠,127149,1774531893060,1774531765911,female,6,1,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,6450,trial
3693,bad,45,,,cookie,Graduated College,😩,127149,1774531893060,1774531765911,female,4,3,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,6303,trial
3693,okay,45,,,coffee,Graduated College,😐,127149,1774531893060,1774531765911,female,5,5,true,English,654be38e60b66f01da5a3a27,69c534af82ebc1cf18dfe84e,69c454f0a957309ec861affe,7237,trial
