submission_id,age,arousal,attentionCheckA,attentionCheckV,comments,context,education,experiment_duration,experiment_end_time,experiment_start_time,gender,isPassedAttention,languages,prolific_pid,prolific_session_id,prolific_study_id,responseTime,state,trialType,valence
3240,61,1,,,,cookie,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,14640,1,trial,1
3240,61,3,,,,pizza,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,19516,2,trial,2
3240,61,9,,,,cookie,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,9743,5,trial,9
3240,61,1,1,5,,pizza,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,17700,3,attention,5
3240,61,7,,,,concert,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,9729,4,trial,7
3240,61,5,,,,restaurant meal,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,13132,3,trial,6
3240,61,2,,,,party,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,15797,2,trial,3
3240,61,4,4,1,,pizza,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,10418,4,attention,1
3240,61,7,,,,party,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,10589,4,trial,7
3240,61,9,,,,party,Higher degree,214321,1772205432824,1772205218503,male,true,"English, French",66e0569e76fa6e4be6919693,69a1b49c1e26c0f8c7a6750e,69a1897608a0cd68430f0f9e,6615,5,trial,9
