submission_id,age,arousal,attentionCheckA,attentionCheckV,comments,country,emoji,emojiUsage,experiment_duration,experiment_end_time,experiment_start_time,gender,isPassedAttention,proficiency,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialType,valence
3242,44,9,0,0,,United Kingdom,relaxed,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,3824,trial,9
3242,44,1,0,0,,United Kingdom,pensive,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2528,trial,1
3242,44,8,0,0,,United Kingdom,laughing,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2744,trial,8
3242,44,2,0,0,,United Kingdom,slightly_frowning_face,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,4120,trial,2
3242,44,2,2,3,,United Kingdom,arrow_up,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,5704,attention,3
3242,44,9,0,0,,United Kingdom,grinning,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,3232,trial,9
3242,44,5,0,0,,United Kingdom,neutral_face,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2439,trial,5
3242,44,9,0,0,,United Kingdom,smile,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2824,trial,9
3242,44,2,0,0,,United Kingdom,weary,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2952,trial,2
3242,44,3,3,5,,United Kingdom,arrow_up,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,5744,attention,5
3242,44,1,0,0,,United Kingdom,white_frowning_face,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2808,trial,1
3242,44,8,0,0,,United Kingdom,slightly_smiling_face,7,65403,1772205442070,1772205376667,male,true,7,5bb775b0f1f9ba000140e7b3,69a1b4fc3faf72b1b6c39776,69a1b278a2342e6c08876bcf,2953,trial,8
