submission_id,adj,age,attentionCheck,comments,context,education,emoji,experiment_duration,experiment_end_time,experiment_start_time,gender,goalEmotion,goalState,inferredState,isPassedAttention,languages,prolific_pid,prolific_session_id,prolific_study_id,responseTime,trialType
3794,amazing,34,,,cookie,Graduated High-school,😀,196131,1774550817037,1774550620906,male,5,8,4,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,20806,trial
3794,okay,34,,,movie,Graduated High-school,😐,196131,1774550817037,1774550620906,male,8,8,3,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,17529,trial
3794,bad,34,,,concert,Graduated High-school,☹️,196131,1774550817037,1774550620906,male,8,8,1,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,8862,trial
3794,terrible,34,3,,movie,Graduated High-school,🙁,196131,1774550817037,1774550620906,male,null,null,3,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,10831,attention
3794,okay,34,,,concert,Graduated High-school,null,196131,1774550817037,1774550620906,male,4,8,3,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,14174,trial
3794,amazing,34,,,movie,Graduated High-school,null,196131,1774550817037,1774550620906,male,2,8,4,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,12765,trial
3794,good,34,,,party,Graduated High-school,null,196131,1774550817037,1774550620906,male,1,5,3,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,9307,trial
3794,amazing,34,3,,party,Graduated High-school,☹️,196131,1774550817037,1774550620906,male,null,null,3,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,6727,attention
3794,terrible,34,,,cookie,Graduated High-school,null,196131,1774550817037,1774550620906,male,4,9,1,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,10156,trial
3794,terrible,34,,,concert,Graduated High-school,🙁,196131,1774550817037,1774550620906,male,6,9,1,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,9616,trial
3794,good,34,,,coffee,Graduated High-school,🙂,196131,1774550817037,1774550620906,male,8,8,4,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,7305,trial
3794,bad,34,,,cookie,Graduated High-school,null,196131,1774550817037,1774550620906,male,3,8,2,true,English,69a0587df827563d5d8dac63,69c57e48ac8887524b780914,69c4533653a5dca26006e516,8810,trial
3795,okay,35,,,pizza,Higher degree,null,114852,1774550849074,1774550734222,female,3,3,3,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,14950,trial
3795,bad,35,,,pizza,Higher degree,☹️,114852,1774550849074,1774550734222,female,7,7,1,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,11050,trial
3795,good,35,,,pizza,Higher degree,null,114852,1774550849074,1774550734222,female,5,5,4,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,9033,trial
3795,terrible,35,4,,pizza,Higher degree,😠,114852,1774550849074,1774550734222,female,null,null,4,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,4033,attention
3795,okay,35,,,party,Higher degree,😐,114852,1774550849074,1774550734222,female,6,6,2,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,8017,trial
3795,amazing,35,,,pizza,Higher degree,☺️,114852,1774550849074,1774550734222,female,8,8,5,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,5184,trial
3795,amazing,35,,,restaurant meal,Higher degree,null,114852,1774550849074,1774550734222,female,7,7,5,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,6783,trial
3795,bad,35,2,,cookie,Higher degree,😆,114852,1774550849074,1774550734222,female,null,null,2,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,2850,attention
3795,terrible,35,,,cookie,Higher degree,null,114852,1774550849074,1774550734222,female,2,2,1,true,English,6777c88074566bdef374f9e5,69c57ec5e64c3fe20b15b3ae,69c4533653a5dca26006e516,5450,trial
